Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entity_2_type,labels
"it consists of microangiopathic hemolytic anemia, thrombocytopenia and progressive renal failure associated with  @CHEMICAL$  treatment and affects about 10% of patients treated with this agent.",mitomycin c,D016685,Chemical,hemolytic uremic syndrome,D006463,Disease,0
a close relationship was seen between the overshooting of forces and dyskinesias in the on-drug condition.,levodopa,D007980,Chemical,dyskinesia,D004409,Disease,0
"background: hormone therapy (ht) is widely used for controlling menopausal symptoms and has also been used for the management and prevention of cardiovascular disease, osteoporosis and dementia in older women.",oestrogen,D004967,Chemical,venous thrombo-embolism,D054556,Disease,0
"reserpine (1 mg/kg), administered once every other day for 4 days, produced increases in orofacial dyskinesia, tongue protrusion and vacuous chewing in mice, which are signs indicative of tardive dyskinesia.",reserpine,D012110,Chemical,catalepsy,D002375,Disease,0
"twenty-three patients (38%) and 15 (26%), in the combination and  @CHEMICAL$  groups, respectively, discontinued therapy (p = 0.",zidovudine,D015215,Chemical,flatulence,D005414,Disease,0
purpose: ngf and pgs in the bladder can be affected by pathological changes in the bladder and these changes can be detected in urine.,pgf2alpha,D015237,Chemical,overactive bladder,D053201,Disease,0
this latter effect is thought to be due to drug precipitation within the renal tubule as a result of the poor solubility of cb 3717 under acidic conditions.,n10-propargyl-5,C031662,Chemical,malaise,D005221,Disease,0
"male f344 rats, 5 weeks of age, were maintained on diet containing 1% or 2% bha by weight and simultaneously on drinking water supplemented with ra at various concentrations (w/v) for 52 weeks.",butylated hydroxyanisole,D002083,Chemical,forestomach carcinogenesis,D013274,Disease,0
information on these effects could be obtained from angiograms of patients with  @CHEMICAL$--associated  @DISEASE$  (sah) who underwent angiography shortly after  @CHEMICAL$- use.,cocaine,D003042,Chemical,subarachnoid hemorrhage,D013345,Disease,0
a kruskal-wallis 1-way analysis of variance indicated a significant difference among the 4 treatment groups (h = 15.,ntg,D005996,Chemical,memory impairment,D008569,Disease,0
"increased extracellular concentrations of uridine (urd) have been reported to reduce, in vitro,  @CHEMICAL$  (azt)-induced inhibition of human granulocyte-macrophage progenitor cells without impairment of its antihuman immunodeficiency virus (hiv) activity.",azidothymidine,D015215,Chemical,marrow toxicity,D001855,Disease,0
"moreover, m(3)-muscarinic acetylcholine receptor (machr) antagonist 4-damp (4-diphenylacetoxy-n-methylpiperidine-methiodide) partially abolished the beneficial effects of pilocarpine.",aconitine,D000157,Chemical,arrhythmia,D001145,Disease,0
"6 micrograms/ml, respectively (mean +/- sd, n = 6).",adrenaline,D004837,Chemical,arrhythmia,D001145,Disease,0
"we started lmwh (25 iu/kg/h) on postoperative day (pod) 1, switching to  @CHEMICAL$  (5000 u/d) on pod 2 or 3.",ufh,D006493,Chemical,thrombocytopenia,D013921,Disease,0
"all patients were studied by repeated physical examinations, chest x-rays, electro- and echocardiography and radionuclide left ventricular ejection fraction (ef) determinations.",mitomycin c,D016685,Chemical,cardiac failure,D006333,Disease,0
"isoniazid was discontinued later, followed by a dramatic improvement in the visual acuity.",isoniazid,D007538,Chemical,bilateral optic neuropathy,D009901,Disease,0
demand following coronary hypotension and myocardial hyperactivity is the best explanation for the complex morphological alterations observed.,isoproterenol,D007545,Chemical,ischaemic injury,D007511,Disease,0
"we suggest that caution be taken when cisapride is prescribed with any potent inhibitor of cyp3a4, including diltiazem.",azole,D001393,Chemical,qt-interval prolongation,D008133,Disease,0
cacl2 therapy may possibly worsen both cardiovascular and central nervous system toxicity.,cacl2,D002122,Chemical,ventricular arrhythmias,D001145,Disease,0
liver injuries were quantified as serum activities of glutamate-oxaloacetate transaminase (got) and glutamate-pyruvate transaminase (gpt).,ethanol,D000431,Chemical,liver damage,D008107,Disease,0
we describe the induction of sustained remissions and possible cure of severe erosive rheumatoid arthritis (ra) by bone marrow transplantation (bmt) in 2 patients.,gold,D006046,Chemical,aplastic anemia,D000741,Disease,0
"however, the incidence may be lower than that reported previously.",phentermine,D010645,Chemical,aortic regurgitation,D001022,Disease,0
"highly active antiretroviral therapy (haart) has significantly reduced morbidity and mortality of acquired immunodeficiency syndrome (aids), but has resulted in an increase in cardiac and skeletal myopathies.",3'-azido-2',D015215,Chemical,cardiac dilation,D002311,Disease,0
phenylpropanolamine (ppa) is a drug that has been associated with serious side effects including stroke.,caffeine,D002110,Chemical,cerebral hemorrhage,D002543,Disease,0
"in single dose studies,  @DISEASE$,, md, and vsd were induced on gds 9 and 10.",asa,D001241,Chemical,dh,D065630,Disease,0
conclusion: htr6 may play an important role in the pathophysiology of meth-induced psychosis in the japanese population.,methamphetamine,D008694,Chemical,psychotic disorders,D011605,Disease,0
"etiologic factors or associated disorders include infections, medications, collagen vascular disease and neoplasia.",corticosteroids,D000305,Chemical,cutaneous leucocytoclastic vasculitis,D018366,Disease,0
background: in recent studies increased amounts of nitric oxide (no) and apoptosis have been implicated in various pathological conditions in the kidney.,adriamycin,D004317,Chemical,nephrotic syndrome,D009404,Disease,0
our approach was effective in detecting uveitis in new cases and exacerbations of uveitis in established cases.,hydroxychloroquine,D006886,Chemical,chorioretinopathy,D012164,Disease,0
"although this new combination appears to be effective as a prophylactic regimen for acute gvhd, the incidence of tma and  @DISEASE$  is considerably higher than seen with other regimens.",tacrolimus,D016559,Chemical,sos,D006504,Disease,0
both the pressor and bradycardia effects of cirazoline were abolished in chronic prazosin treated shr (n = 4) as compared to the untreated shr (n = 4).,abbott-53693,C056299,Chemical,hypertensive,D006973,Disease,0
"materials and methods: cp was administered at doses of 50, 100 and 200 mg.",cyclophosphamide,D003520,Chemical,painful syndromes,D010146,Disease,0
extrapyramidal side effects and oral  @CHEMICAL$:: an analysis of explanatory patient and treatment characteristics.,haloperidol,D006220,Chemical,parkinsonism,D010300,Disease,0
alpha-tc and dfo attenuated the  @CHEMICAL$--induced hyperthermia as well as the alterations in the locomotor activity.,ma,D008694,Chemical,neuronal damage,D009422,Disease,0
allergic interstitial nephritis is believed to be the underlying pathological-process.,ciprofloxacin,D002939,Chemical,acute renal failure,D058186,Disease,0
influence of diet free of nad-precursors on acetaminophen hepatotoxicity in mice.,ethanol,D000431,Chemical,hepatitis,D056486,Disease,0
"phenobarbital (pb) has a reputation for safety, and it is commonly believed that pb-related increases in serum aminotransferase levels do not indicate or predict the development of significant chronic  @DISEASE$..",phenobarbital,D010634,Chemical,liver disease,D008107,Disease,0
"0mg/kg), the 5-ht(2c) receptor agonist m-chlorophenylpiperazine (mcpp, 0.",pentylenetetrazole,D010433,Chemical,startle,D012021,Disease,0
he required inotropic support and temporary pacing over the next 48 hours.,diltiazem,D004110,Chemical,hypotension,D007022,Disease,0
ventricular dna content was unchanged during the early stage (1-4 days) of hypertrophic growth but increased to a new steady-state level 19% above the controls after 8 days of treatment.,isoproterenol,D007545,Chemical,cardiac hypertrophy,D006332,Disease,0
overdose patients who have coingested tricyclic antidepressants have a higher risk of these complications.,flumazenil,D005442,Chemical,tonic-clonic seizure,D012640,Disease,0
cardiac arrest after intravenous  @CHEMICAL$  - a case of five repeated injections of  @CHEMICAL$  causing five episodes of cardiac arrest.,metoclopramide,D008787,Chemical,asystole,D006323,Disease,0
"as inhibitors of isolated l1210 ts, cb 3717 di-, tri-, tetra- and pentaglutamate are 26-, 87-, 119- and 114-fold more potent than cb 3717, respectively, and their formation may, therefore, be an important determinant of cb 3717 cytotoxicity.",n10-propargyl-5,C031662,Chemical,renal toxicity,D007674,Disease,0
4%) were no different than with pbo + li/dvp (19.,lithium,D008094,Chemical,eps,D001480,Disease,0
"papillomas of the transitional epithelium of the bladder developed in all  @CHEMICAL$--treated groups, and three rats bore bladder carcinomas.",paracetamol,D000082,Chemical,hepatocarcinogens,D008113,Disease,0
"design: this was a randomized, double-blind study.",etomidate,D005045,Chemical,myoclonus,D009207,Disease,0
"conclusion: myocet improves the therapeutic index of doxorubicin by significantly reducing cardiotoxicity and grade 4 neutropenia and provides comparable antitumor efficacy, when used in combination with  @CHEMICAL$  as first-line therapy for mbc.",cyclophosphamide,D003520,Chemical,chf,D006333,Disease,0
"among the 15 patients with cin, 6 had cyanotic congenital heart diseases, but the incidence did not differ significantly from that for the noncyanotic patients (p = 0.",cm,D003287,Chemical,nephropathy,D007674,Disease,0
conscious shr were treated for 4 days with prazosin at 2 mg kg-1 day-1 i.p. for chronic alpha 1-adrenoceptor blockade.,cirazoline,C014282,Chemical,bradycardia,D001919,Disease,0
"despite these uncertainties, this initial evaluation of the direct cost of treating  @DISEASE$  provides an estimate of the cost and management implications of this clinically important adverse effect.",ribavirin,D012254,Chemical,riha,D000743,Disease,0
"at study end, statistically significant percentage reductions from baseline within groups and between groups were observed in sbp (t+a [-27.",telmisartan,C084178,Chemical,dizziness,D004244,Disease,0
"we recorded indication for conversion, whether conversion was early or late after transplantation,  @CHEMICAL$  dose and trough blood level at conversion, and incidence of rejection after conversion.",tacrolimus,D016559,Chemical,pruritus,D011537,Disease,0
"6%) are alive with functioning grafts 686 +/- 362 days (range, 154-1433 days) after conversion.",tacrolimus,D016559,Chemical,post-transplant lmphoproliferate disease,D008232,Disease,0
"although  @CHEMICAL$,,4-methylenedioxymethamphetamine (mdma or ecstasy) has been shown to damage brain serotonin (5-ht) neurons in animals and possibly humans, little is known about the long-term consequences of mdma-induced 5-ht neurotoxic lesions on functions in which 5-ht is involved, such as cognitive function.",3,D018817,Chemical,memory impairments,D008569,Disease,0
antiarrhythmic plasma concentrations of cibenzoline on canine  @DISEASE$..,digitalis,D004071,Chemical,ventricular arrhythmias,D001145,Disease,0
"baseline left ventricular function, assessed by cardiac catheterisation or nuclear angiography, was normal in two patients and only mildly reduced in the other.",beta-adrenergic blocking drugs,D000319,Chemical,bradycardia,D001919,Disease,0
"he was brought directly to a hospital where he was found to be agitated and confused with shivering, myoclonic jerks, rigidity,  @DISEASE$  and diaphoresis.",venlafaxine,C047426,Chemical,salivation,D012798,Disease,0
"gamma-enac abundance was increased in the cortex, isom, and im.",pan,D011692,Chemical,ascites,D001201,Disease,0
confocal microscopy was used to measure intracellular free-calcium concentrations ([ca(2+)](i)) in isolated myocytes.,aconitine,D000157,Chemical,arrhythmias,D001145,Disease,0
"in the frontal cortex, there was a statistically significant decrease in gsk3alpha after multiple (but not single) injections of meth.",methamphetamine,D008694,Chemical,aggressive behaviors,D001523,Disease,0
"within 2 h he became confused with jerking movements of his extremities, tremors and rigidity.",tranylcypromine,D014191,Chemical,thrombocytopenia,D013921,Disease,0
"in this group there were 1 complete and 5 partial remissions (total 24%), but nearly all patients developed either gross haematuria and/or symptoms of  @DISEASE$  (cystitis and pollakisuria).",ifosfamide,D007069,Chemical,bladder irritation,D001745,Disease,0
brainstem dysgenesis in an infant prenatally exposed to  @CHEMICAL$..,cocaine,D003042,Chemical,multiple cranial-nerve involvement,D003389,Disease,0
"fetal measures from the heavy-exposed fetuses were also compared with measures from a nondrinking group that was representative of normal, uncomplicated pregnancies from our clinics.",alcohol,D000431,Chemical,decreased cranial to body growth,D006130,Disease,0
doxorubicin toxicokinetics studies revealed no change in accumulation of doxorubicin and doxorubicinol (toxic metabolite) in the normal diet-fed (nd) and ob hearts.,fat,D004041,Chemical,obesity,D009765,Disease,0
5%) of 42 netilmicin and  @CHEMICAL$- and in 12 (22%) of 54 tobramycin and  @CHEMICAL$--treated patients.,piperacillin,D010878,Chemical,ototoxicity,D006311,Disease,0
liver and plasma  @CHEMICAL$  were not increased until 14 days (2-fold vs.,tbars,D017392,Chemical,liver toxicity,D056486,Disease,0
paclitaxel 225 mg/m2 was infused over 3 hours every 3 weeks with standard prophylactic premedication.,taxol,D017239,Chemical,arthralgia,D018771,Disease,0
"thus, our study suggests that pleiotropic effects of metformin can lessen  @CHEMICAL$  nephrotoxicity and improve mitochondrial homeostasis.",gentamicin,D005839,Chemical,acute renal failure,D058186,Disease,0
therapy should be discontinued on the suspicion of cholestatic injury or hepatomegaly.,amiodarone,D000638,Chemical,cirrhosis of the liver,D008103,Disease,0
observations: a keratome skin specimen from 1 patient with sirolimus-induced  @DISEASE$  syndrome had a 2.,rapamycin,D020123,Chemical,capillary leak,D019559,Disease,0
the mechanism of this myopathy is poorly understood.,triamcinolone,D014221,Chemical,reduction of food intake,D000855,Disease,0
3 mg/kg) was found to be several fold more potent than diazepam (0.,muscimol,D009118,Chemical,myoclonus,D009207,Disease,0
"by multivariate analysis, in both the placebo and  @CHEMICAL$  groups older age, diuretic therapy, and diabetes were associated with decreased renal function, whereas beta-blocker therapy and higher ejection fraction were renoprotective.",enalapril,D004656,Chemical,renal impairment,D051437,Disease,0
"results: the results were compared to the calculated average rnfl of normal eyes accumulated from four prior studies using oct, n=661.",ethambutol,D004977,Chemical,optic neuropathies,D009901,Disease,0
"papillomas of the transitional epithelium of the bladder developed in all  @CHEMICAL$--treated groups, and three rats bore bladder carcinomas.",paracetamol,D000082,Chemical,hyperplasia,D006965,Disease,0
mj disappeared when  @CHEMICAL$  dose was decreased by 25 to 50%.,ltg,C047781,Chemical,myoclonic status,D009207,Disease,0
conclusions: ngf and pgs have important roles in the development of oab symptoms in female patients.,pge2,D015232,Chemical,overactive bladder,D053201,Disease,0
"all 24 patients with  @DISEASE$  received high doses of txa intraoperatively ranging from 61 to 259 mg/kg, had a mean age of 69.",tranexamic acid,D014148,Chemical,seizures,D012640,Disease,0
68 mmol l-dopa given by gastric intubation 15 minutes before the ammonium salt injection.,nh4cl,D000643,Chemical,coma,D003128,Disease,0
these data indicate that the adaptive response to iso shows an early hypertrophic phase (1-4 days) characterized by a substantial increase in rna content and cardiac mass in the absence of changes in dna.,isoproterenol,D007545,Chemical,cardiac hypertrophy,D006332,Disease,0
"renografin contains the chelating agents sodium citrate and disodium edetate, while hypaque contains calcium disodium edetate and no sodium citrate.",hypaque 76%,C027278,Chemical,ventricular fibrillation,D014693,Disease,0
major cardiac arrhythmias are a potential hazard in patients without heart disease who are receiving customary therapeutic doses of psychotropic drugs.,mellaril,D013881,Chemical,supraventricular tachycardia,D013617,Disease,0
08 pvc beats/min +/- sem and during static and dynamic exercise 0.,hctz,D006852,Chemical,cardiac arrhythmias,D001145,Disease,0
"in addition, oct (oct 3000, humphrey-zeiss, dublin, ca) was performed on both eyes of each subject using the retinal nerve fiber layer (rnfl) analysis protocol.",emb,D004977,Chemical,optic neuropathies,D009901,Disease,0
"finally, to show that the bladder is essential for the  @CHEMICAL$--induced behavioral modifications, female rats also received  @CHEMICAL$- at doses of 200 mg.",cp,D003520,Chemical,painful syndromes,D010146,Disease,0
"we investigated in this study the possible engagement of locus coeruleus of the pons in this phenomenon, using male sprague-dawley rats anesthetized with ketamine.",fentanyl,D005283,Chemical,muscular rigidity,D009127,Disease,0
the degree and time course of development of tolerance to daily administration of sub-effective dose combinations of  @CHEMICAL$  and morphine were similar.,ketamine,D007649,Chemical,cataleptic,D002375,Disease,0
we investigated the efficacy and toxicity of a 3-hour paclitaxel infusion in a phase ii trial in patients with inoperable stage iiib or iv nsclc.,taxol,D017239,Chemical,nausea,D009325,Disease,0
we describe herein 3 patients who developed rosacea-like  @DISEASE$  eruptions while using 0.,pimecrolimus,C117268,Chemical,dermatitis,D003872,Disease,0
the mean  @CHEMICAL$  steady-state trough level (4.,sc-48334,C059896,Chemical,diarrhea,D003967,Disease,0
"finally, a pair-fed (pf) study, performed in 18 rats (c, t, and pf), showed that muscle atrophy was considerably less pronounced in pf animals than in t-treated animals.",triamcinolone,D014221,Chemical,loss in body weight,D015431,Disease,0
liver injuries were quantified as serum activities of glutamate-oxaloacetate transaminase (got) and glutamate-pyruvate transaminase (gpt).,aap,D000082,Chemical,liver injuries,D056486,Disease,0
"we therefore conducted the present acute dose-response study in four 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)-exposed cynomolgus monkeys primed to exhibit  @CHEMICAL$--induced  @DISEASE$  to evaluate the locomotor and dyskinetic effects on challenge with four doses (from 0.",levodopa,D007980,Chemical,dyskinesias,D004409,Disease,0
grade 1 or 2 polyneuropathy affected 56% of patients while only one (2%) experienced severe polyneuropathy.,taxol,D017239,Chemical,vomiting,D014839,Disease,0
"male sprague-dawley rats were injected with saline on postnatal day (p) 20, or a convulsant dose of  @CHEMICAL$  on p20 or p45.",pilocarpine,D010862,Chemical,status epilepticus,D013226,Disease,0
methods: the passive avoidance (pa) paradigm was used to assess memory retention.,ntg,D005996,Chemical,memory impairment,D008569,Disease,0
"in td group, three patients developed decreased auditory function, of which one presented with an  @DISEASE$  of -30 db, whereas in the od group only one patient presented decreased auditory function.",tobramicyn,D014031,Chemical,auditory loss,D034381,Disease,0
"serum sodium (na), potassium (k), and creatinine (cr) were measured 24 h before angiography as baseline values, then measured again at 12-, 24-, and 48-h intervals after cm use.",contrast media,D003287,Chemical,nephropathy,D007674,Disease,0
co-carcinogenic effect of retinyl acetate on forestomach carcinogenesis of male f344 rats induced with butylated hydroxyanisole.,bha,D002083,Chemical,forestomach tumorigenesis,D013274,Disease,0
nimodipine prevents  @DISEASE$  caused by nitroglycerin-induced hypotension in adult mice.,ntg,D005996,Chemical,memory impairment,D008569,Disease,0
"gentamicin administration decreased diameter, density and shape of endothelial fenestrae.",kanamycin,D007612,Chemical,impairment of renal reabsorption,D007674,Disease,0
25% showed a dose-dependent enhancing effect on the development of the bha-induced epithelial hyperplasia.,butylated hydroxyanisole,D002083,Chemical,forestomach tumors,D013274,Disease,0
a single intrapatient dose escalation was permitted.,13-cis-retinoic acid,D015474,Chemical,hypercalcemia,D006934,Disease,0
"a 79-year-old woman presented with typical ischemic  @DISEASE$,, elevated cardiac enzymes with significant st-segment abnormalities on her electrocardiogram.",5 flourouracil,D005472,Chemical,chest pain,D002637,Disease,0
"while the use of mdma in quantities that may be considered ""moderate"" is not associated with  @DISEASE$,, heavy use of mdma use may lead to long lasting memory impairments.",ecstasy,D018817,Chemical,impaired memory functioning,D008569,Disease,0
control (saline p20) rats acquired both discriminations immediately.,pilocarpine,D010862,Chemical,impairment in auditory location discrimination,D001308,Disease,0
"on repeat challenge with  @CHEMICAL$,, the  @DISEASE$  recurred.",phenobarbital,D010634,Chemical,dyskinesia,D004409,Disease,0
background:  @CHEMICAL$  has been used at our institution since 2005 to provide sedation for pediatric radiological imaging studies.,dexmedetomidine,D020927,Chemical,bradycardia,D001919,Disease,0
transient contralateral rotation following unilateral substantia nigra lesion reflects susceptibility of the nigrostriatal system to exhaustion by  @CHEMICAL$..,amphetamine,D000661,Chemical,ipsilateral circling,D009069,Disease,0
this is the first documentation that metoclopramide provokes  @DISEASE$  clinically.,cisapride,D020117,Chemical,torsade de pointes,D016171,Disease,0
"palpable purpura is a concerning clinical finding in pediatric patients and can have many causes, including infectious and autoimmune processes.",ptu,D011441,Chemical,vasculitis,D014657,Disease,0
"throughout the observation period, no significant alteration in vital signs was observed.",cilostazol,C045645,Chemical,headache,D006261,Disease,0
"over the following 9 days, the symptoms improved and plasma bilirubin levels were normal after 12 weeks without  @CHEMICAL$..",methimazole,D008713,Chemical,cholestatic jaundice,D041781,Disease,0
"3% of the patients with  @DISEASE$  were among those who received the proper dosage of cm, the percentage increased to 66.",iohexol,D007472,Chemical,cin,D007674,Disease,0
proteinuria is a side effect of captopril treatment in hypertensive patients.,puromycin aminonucleoside,D011692,Chemical,proteinuria,D011507,Disease,0
intravenous ribavirin treatment for severe adenovirus disease in immunocompromised children.,cidofovir,C059262,Chemical,neutropenia,D009503,Disease,0
9% of isg recipients (p = 0.,hbeag,D006513,Chemical,hepatitis b,D006509,Disease,0
"within the same timeframe, no l-w rat developed a similar  @DISEASE$ l @DISEASE$ ble  @DISEASE$  when treated only with tp.",n-nitroso-n-methylurea,D008770,Chemical,pa,D011471,Disease,0
"four binary comparisons were made: wt control versus cyp treatment (48 h), vip(-/-) control versus cyp treatment (48 h), wt control versus vip(-/-) control, and wt with cyp treatment (48 h) versus vip(-/-) with cyp treatment (48 h).",cyclophosphamide,D003520,Chemical,cystitis,D003556,Disease,0
there are no published  @CHEMICAL$  studies using the multiple dosing paradigm of gds 6 to 17.,asa,D001241,Chemical,diaphragmatic hernia,D065630,Disease,0
our report provides direct evidence for this role.,androgens,D000728,Chemical,obstructive sleep apnea,D020181,Disease,0
"ventricular fibrillation occurred significantly more often with renografin, suggesting that chelating agents contribute to toxicity in coronary angiography.",hypaque 76%,C027278,Chemical,ventricular fibrillation,D014693,Disease,0
"he was intubated for airway protection and because of hypoventilation, and was paralyzed to control muscle rigidity.",venlafaxine,C047426,Chemical,hyperthermia,D005334,Disease,0
"the effects of i.v.c. injection of human and salmon calcitonin on biochemical and behavioral parameters related to the extrapyramidal motor system, were investigated in male rats.",haloperidol,D006220,Chemical,catalepsy,D002375,Disease,0
we investigated changes in urinary ngf and pgs in women with oab.,pgf2alpha,D015237,Chemical,overactive bladder,D053201,Disease,0
"the cumulative doses of levobupivacaine that produced dysrhythmias and asystole were smaller than the corresponding doses of  @CHEMICAL$,, but they were larger than those of bupivacaine.",ropivacaine,C037663,Chemical,seizures,D012640,Disease,0
succinylcholine-induced masseter muscle rigidity during bronchoscopic removal of a tracheal foreign body.,succinylcholine,D013390,Chemical,jaw of steel,D014313,Disease,0
"objectives: to assess the effect of long-term ht on mortality, cardiovascular outcomes, cancer, gallbladder disease, cognition, fractures and quality of life.",oestrogens,D004967,Chemical,stroke,D020521,Disease,0
"because few patients received multiple courses over time, the cumulative effects are indeterminate in the present trial.",ifosfamide,D007069,Chemical,confusion,D003221,Disease,0
"two studies evaluated quetiapine monotherapy (up to 800 mg/day) (n = 209) versus placebo (n = 198), with  @CHEMICAL$  or haloperidol monotherapy as respective active controls.",lithium,D008094,Chemical,tremor,D014202,Disease,0
"here, we describe a case of severe masseter muscle rigidity ((@DISEASE$)) after  @CHEMICAL$  (sch) administration during general anesthetic management for rigid bronchoscopic removal of a tracheal foreign body.",succinylcholine,D013390,Chemical,jaw of steel,D014313,Disease,0
"objective: to compare the antihypertensive efficacy of a new angiotensin ii antagonist,  @CHEMICAL$,, with a reference therapy, amlodipine.",valsartan,C081489,Chemical,edema,D004487,Disease,0
conclusions: alterations in fetal biometric measurements were observed among the heavy drinkers only when they continued drinking after becoming aware of their pregnancies.,amphetamine,D000661,Chemical,growth impairment,D006130,Disease,0
"background: dilated  @DISEASE$  (dcm) and myocarditis occur in many hiv-infected individuals, resulting in symptomatic heart failure in up to 5% of patients.",azt,D015215,Chemical,cardiomyopathy,D009202,Disease,0
ecg changes were more common among patients with known coronary artery disease.,5-fu,D005472,Chemical,ischemia,D007511,Disease,0
"methods: this comparative, phase iii, 12-week, multicenter, prospective, randomized, double-blind study was conducted in indian patients aged 18 to 65 years with established stage ii hypertension.",telmisartan,C084178,Chemical,dizziness,D004244,Disease,0
"renal function was normal but hepatic function was impaired in all patients, and all had acidosis.",nondepolarizing neuromuscular blocking agents,D003473,Chemical,weakness,D018908,Disease,0
"in this respect, little is known about the role of da receptors in the occurrence of epilepsy-induced neuronal cell death.",pilocarpine,D010862,Chemical,seizures,D012640,Disease,0
"overall, these findings indicate that vpa treatment results in oxidative stress, as measured by levels of 15-f(2t)-isop, which precedes the onset of necrosis, steatosis, and elevated levels of serum alpha-gst.",lipid hydroperoxides,D008054,Chemical,liver toxicity,D056486,Disease,0
"exclusion criteria were asphyxia, malformations, major surgical interventions, small for gestational age, intraventricular haemorrhage grades iii and iv, periventricular leukomalacia, and severe psychomotor retardation.",dexamethasone,D003907,Chemical,neurological dysfunctions,D009422,Disease,0
catheterization abnormalities correlated well with morphologic damage (r = 0.,dxr,D004317,Chemical,myocardial damage,D009202,Disease,0
selective distal tubular epithelial toxicity seems to be responsible for the profound potassium wasting that is a major clinical side effect of treatment with  @CHEMICAL$..,amb,D000666,Chemical,hypokalemia,D007008,Disease,0
"results: the 3 patients had acute renal insufficiency, relative metabolic alkalosis, and low parathyroid hormone (pth), pth-related peptide, and 1,25-dihydroxyvitamin d concentrations.",pamidronate,C019248,Chemical,hypocalcemia,D006996,Disease,0
"for patients with prior zidovudine therapy, the mean change in cd4 cells in the combination and zidovudine groups was 63.",n-butyl-deoxynojirimycin,C059896,Chemical,diarrhea,D003967,Disease,0
"based on 290 subjects, there was an average difference of 0.",sulindac,D013467,Chemical,hearing loss,D034381,Disease,0
effects of the hippocampal deep brain stimulation on cortical epileptic discharges in penicillin - induced  @DISEASE$  model in rats.,penicillin g,D010400,Chemical,epilepsy,D004827,Disease,0
"however, in the adr-nephropathy group, numerous apoptotic cells were identified in the tubulointerstitial areas.",adriamycin,D004317,Chemical,nephrotic syndrome,D009404,Disease,0
"there was a combined mean loss of 46% of fibers from the superior, inferior, and nasal quadrants in the (six) eyes of all three subjects (mean average thickness of 55+/-29 microm).",emb,D004977,Chemical,visual deficits,D014786,Disease,0
"thirty minutes after these injections, all mice received  @CHEMICAL$  (50 mg/kg, i.p.).",lidocaine,D008012,Chemical,convulsions,D012640,Disease,0
head-up tilts in these rats did not produce orthostatic hypotension when performed either prior to or after acute dosing of prazosin (0.,noradrenaline,D009638,Chemical,hypertensive,D006973,Disease,0
"among various oral antiplatelets, a combination of a novel prostacyclin analogue beraprost ((@CHEMICAL$)) and a potent phosphodiesterase inhibitor cilostazol (clz) may result in untoward clinical effects due to possible synergistic elevation of intracellular camp (cyclic adenosine 3',5'-monophosphate).",bpt,C048081,Chemical,nausea,D009325,Disease,0
beta-blocker therapy and higher ejection fraction were renoprotective in all patients regardless of therapy.,diuretic,D004232,Chemical,renal impairment,D051437,Disease,0
