Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entitty_2_type,labels
5% to evaluate the effect of aspirin on the increased cell proliferation induced by fanft in the forestomach and bladder.,n-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide,D005200,Chemical,forestomach tumors,D013274,Disease,0
background/aims: it is still unclear what happens in the glomerulus when  @DISEASE$  starts.,puromycin aminonucleoside,D011692,Chemical,proteinuria,D011507,Disease,0
large doses of  @CHEMICAL$  repeatedly induced brief episodes of mania in a depressed elderly woman.,triazolam,D014229,Chemical,manic,D001714,Disease,0
"01), with trends of elevation in cacl(2)-untreated segments, as compared with nacl-treated segments.",cacl(2),D002122,Chemical,thoracic aortic aneurysm,D017545,Disease,0
background:  @CHEMICAL$  hydrochloride is a direct-acting vasodilator used to manage vasospasm during various neurosurgical operations.,papaverine,D010208,Chemical,adverse effect on the proximal eighth nerve,D000160,Disease,0
twin preterm neonates with cardiac toxicity related to  @CHEMICAL$  therapy.,lopinavir/ritonavir,C558899,Chemical,dilated cardiomyopathy,D002311,Disease,0
"fifteen polydrug ecstasy users and 15 polydrug non-ecstasy user controls completed a general drug use questionnaire, the brixton spatial anticipation task (set shifting), backward digit span procedure (memory updating), inhibition of return (inhibition), an emotional intelligence scale, the tromso social intelligence scale and the dysexecutive questionnaire (dex).",3,D018817,Chemical,impaired social and emotional judgement processes,D003072,Disease,0
effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.,li,D008094,Chemical,hypertension,D006973,Disease,0
"in this study, the severity of response to other  @DISEASE$--inducing agents was tested in mice 1 and 24 h after intraperitoneal administration of 80 mg/kg gamma-hch.",picrotoxin,D010852,Chemical,seizure,D012640,Disease,0
05) followed with no change in co (3.,phenylephrine,D010656,Chemical,reduces frontal lobe oxygenation,D002534,Disease,0
"one of 16 patients (6%) with prior chemotherapy had a complete response (cr) of 31 weeks' duration (95% ci, 0% to 30%).",vnb,C030852,Chemical,peripheral neurotoxicity,D010523,Disease,0
antidepressant-induced mania in bipolar patients: identification of risk factors.,ssris,D017367,Chemical,manic,D001714,Disease,0
three patients on  @CHEMICAL$  (15%) developed renal calculi.,acetazolamide,D000086,Chemical,renal calculus,D007669,Disease,0
"5), transverse limb deficiency (aor = 2.",sulfonamides,D013449,Chemical,diaphragmatic hernia,D006548,Disease,0
"the aim of this study was to examine further the renal function, including morphological analysis of the kidneys of male sprague-dawley rats treated with either cyclosporine a (csa),  @CHEMICAL$  (fk506) or srl as monotherapies or in different combinations.",tacrolimus,D016559,Chemical,nephrotoxic,D007674,Disease,0
"finally, 6 weeks later, diffuse chorioretinal atrophy with  @DISEASE$  occurred and the vision in his left eye was lost.",carboplatin,D016190,Chemical,optic atrophy,D009896,Disease,0
"in conclusion, although ro4368554 did not improve a time-related retention deficit, it reversed a cholinergic and a serotonergic memory deficit, suggesting that both mechanisms may be involved in the facilitation of object memory by ro4368554 and, possibly, other 5-ht(6) receptor antagonists.",scopolamine,D012601,Chemical,memory deficiency,D008569,Disease,0
we postulate that the mechanism of the  @CHEMICAL$--induced  @DISEASE$  is the increased simvastatin exposure by ezetimibe inhibition of ugt enzymes.,simvastatinezetimibe,C492458,Chemical,hepatotoxicity,D056486,Disease,0
"recent reports indicate that single agent therapy with vinorelbine ((@CHEMICAL$)) or gemcitabine (gem) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life.",vnb,C030852,Chemical,neurotoxicity,D020258,Disease,0
"subsequently, acute  @DISEASE$  and fatal subarachnoid hemorrhage occurred.",epinephrine,D004837,Chemical,cardiac arrest,D006323,Disease,0
"these experiments suggest that although many factors may contribute to the increased incidence of ventricular arrhythmias in respiratory failure, pharmacologic agents, particularly  @CHEMICAL$,, may play a significant role.",aminophylline,D000628,Chemical,ventricular fibrillation,D014693,Disease,0
"2) relative to repeat users of second generation pills, whereas it was 1.",oral contraceptives,D003276,Chemical,vte,D054556,Disease,0
dup 753 prevents the development of  @CHEMICAL$--induced nephrosis.,puromycin aminonucleoside,D011692,Chemical,hypoalbuminemia,D034141,Disease,0
it is necessary that both oncologists and neurologists be fully aware of this unusual complication.,5-fluorouracil,D005472,Chemical,confusion,D003221,Disease,0
"the drug was withdrawn on presentation to hospital in 11 patients, with rapid clinical improvement in 9.",methyldopa,D008750,Chemical,cholestasis,D002779,Disease,0
5 mg/ml tamca evoked  @DISEASE$  in all tested rats (n=6) while the lowest concentration of tamca (0.,tranexamic acid,D014148,Chemical,generalized seizures,D012640,Disease,0
severe ocular and orbital toxicity after intracarotid injection of  @CHEMICAL$  for recurrent glioblastomas.,carboplatin,D016190,Chemical,ocular pain,D058447,Disease,0
"the cbz levels measured in plasma and brain of these animals, however, were below those normally considered protective.",hfde,D005481,Chemical,seizures,D012640,Disease,0
statins can cause a necrotizing myopathy and hyperckaemia which is reversible on cessation of the drug.,statins,D019821,Chemical,necrosis,D009336,Disease,0
results thus far suggest no dose-response effect for  @CHEMICAL$  doses above 200 mg/m2.,paclitaxel,D017239,Chemical,arthralgias,D018771,Disease,0
disulfiram-like syndrome after hydrogen cyanamide professional skin exposure: two case reports in france.,alcohol,D000431,Chemical,tachycardia,D013610,Disease,0
"on the positive and negative syndrome scale positive subscale, all treatments were superior to placebo with locf and mmrm; asenapine at 5 mg bid was superior to placebo on the negative subscale with mmrm and on the general psychopathology subscale with locf and mmrm.",haloperidol,D006220,Chemical,extrapyramidal symptoms,D001480,Disease,0
"1), atrial septal defects (aor = 1.",nitrofurantoins,D009582,Chemical,cleft lip,D002971,Disease,0
"to our knowledge, this is the first report of a pseudo-allergy caused by  @CHEMICAL$..",paramethasone,D010248,Chemical,urticaria,D014581,Disease,0
reserpine- and haloperidol-induced  @DISEASE$  are putative animal models of tardive dyskinesia (td) whose pathophysiology has been related to free radical generation and oxidative stress.,reserpine,D012110,Chemical,orofacial dyskinesia,D004409,Disease,0
"activation of presynaptic alpha2-adrenoceptors is the most widely accepted mechanism of action of the antisympathetic drug  @CHEMICAL$.; however, other target proteins have been postulated to contribute to the in vivo actions of  @CHEMICAL$..",clonidine,D003000,Chemical,bradycardia,D001919,Disease,0
at this point it was assumed that the cytochrome p450/ccl4 toxic state was both maximal and stable.,carbon tetrachloride,D002251,Chemical,cirrhosis of the liver,D008103,Disease,0
the complete disappearance of baep waveforms with a consistent temporal delay suggests a possible  @DISEASE$..,papaverine hydrochloride,D010208,Chemical,adverse effect on the proximal eighth nerve,D000160,Disease,0
"ci-921 (nsc 343499; 9-[[2-methoxy-4-[(methylsulphonyl)amino]phenyl]amino] -n,5-dimethyl- 4-acridinecarboxamide) is a topoisomerase ii poison with high experimental antitumour activity.",9-[[2-methoxy-4-[(methylsulphonyl)amino]phenyl]amino] -n,C042315,Chemical,phlebitis,D010689,Disease,0
"no ototoxic factor, other than dfo, was present in any of the patients.",dfo,D003676,Chemical,snhl,D006319,Disease,0
"serologic testing and immunologic studies were done, and a pericardial biopsy was performed.",propylthiouracil,D011441,Chemical,fever,D005334,Disease,0
background: concerns about possible risks of switching to mania associated with antidepressants continue to interfere with the establishment of an optimal treatment paradigm for bipolar depression.,antidepressant,D000928,Chemical,hypomanic,D001714,Disease,0
methods: for one severely affected worker liver biopsy and immunohistochemical stainings for the presence of trifluoroacetyl protein adducts were done.,1-chloro-1,C072959,Chemical,liver disease,D008107,Disease,0
"when both skin test and rast for bpo were negative, single-blind, placebo-controlled challenge tests were done to ensure tolerance of pg or sensitivity to  @CHEMICAL$..",ax,D000658,Chemical,allergic reactions,D004342,Disease,0
08) for cpa/ee use compared with an or(adj) of 2.,cpa,D017373,Chemical,vte,D054556,Disease,0
"in contrast, ssr103800 failed to affect hyperactivity induced by amphetamine or naturally observed in dopamine transporter (dat(-/-)) knockout mice (10-30 mg/kg p.o.).",aripiprazole,C094645,Chemical,catalepsy,D002375,Disease,0
the similarities between the effects of structural lesions and pharmacological depression of the brain stem reticular formation are discussed.,nitrazepam,D009567,Chemical,coma,D003128,Disease,0
dothiepin also produced fewer cns and cardiovascular effects.,amitriptyline,D000639,Chemical,blurred vision,D014786,Disease,0
phase ii study of the amsacrine analogue ci-921 ((@CHEMICAL$)) in non-small cell lung cancer.,nsc 343499,C042315,Chemical,nausea,D009325,Disease,0
the median age of those patients developing grade 3-4 neutropenia was significantly higher than that of the remaining patients (75 years vs.,gemcitabine,C056507,Chemical,thrombocytopenia,D013921,Disease,0
"thp exhibited an antipsychotic-like profile by potentiating haloperidol-induced  @DISEASE$,, reducing amphetamine-induced hyperactivity and reducing apomorphine-induced climbing in mice.",thioperamide,C052075,Chemical,catalepsy,D002375,Disease,0
method: the response of 44 patients meeting dsm-iv criteria for bipolar disorder to naturalistic treatment was assessed for at least 6 weeks using the montgomery-asberg depression rating scale and the bech-rafaelson mania rating scale.,antidepressants,D000928,Chemical,hypomania,D001714,Disease,0
metabolic studies suggested a block in the kynurenine pathway of tryptophan metabolism.,isoniazid,D007538,Chemical,hyperkinesis,D006948,Disease,0
4 mg/kg/day (given intraperitoneally) was administered once a day as these doses have earlier been found to achieve a significant immunosuppressive effect in sprague-dawley rats.,csa,D016572,Chemical,nephrotoxic,D007674,Disease,0
plasma aldosterone levels increased in  @DISEASE$  mice of both genotypes and was followed by increased sgk1 protein expression in sgk1(+/+) mice.,doxorubicin,D004317,Chemical,nephrotic,D009404,Disease,0
"after gastric surgery, rat stomachs were irrigated for 3 h with either simulated gastric juice or normal saline.",cholesterol,D002784,Chemical,gastric hemorrhagic,D006471,Disease,0
replication-competent hbv strains with sg145r or sp120t and lam resistance (rtm204i or rtl180m/rtm204v) were generated on an hbeag-positive and an hbeag-negative background with precore (pc) and basal core promoter (bcp) mutants.,hepatitis b virus e antigen,D006513,Chemical,hepatitis b,D006509,Disease,0
"gastric acid back-diffusion, mucosal lpo generation, histamine concentration, microvascular permeability, luminal hemoglobin content and ulcer areas were determined.",vitamin d2,D004872,Chemical,gastric hemorrhagic,D006471,Disease,0
sirolimus represents a major therapeutic advance in the prevention of acute renal allograft rejection and chronic allograft nephropathy.,rapamycin,D020123,Chemical,renal dysfunction,D007674,Disease,0
"for the cytoprotection study, animals were orally gavaged 100 mg/kg gspe for 7-10 days followed by i.p. injections of organ specific three drugs (aap: 500 mg/kg for 24 h; ami: 50 mg/kg/day for four days;  @CHEMICAL$:: 20 mg/kg for 48 h).",dox,D004317,Chemical,cardiotoxicity,D066126,Disease,0
there is a male preponderance and the peak incidence is in the fourth decade.,thiamine,D013831,Chemical,peripheral nerve disease,D010523,Disease,0
"a further deterioration was seen when csa was combined with either  @CHEMICAL$  or srl, whereas the gfr remained unchanged in the group treated with  @CHEMICAL$  plus srl when compared with treatment with any of the single substances.",fk506,D016559,Chemical,nephrotoxic,D007674,Disease,0
"galanthamine hydrobromide, an anticholinesterase drug capable of penetrating the blood-brain barrier, was used in a patient demonstrating central effects of scopolamine ((@CHEMICAL$))  @DISEASE$..",hyoscine,D012601,Chemical,overdosage,D062787,Disease,0
"in vitro, gamma-hch, pentylenetetrazol and picrotoxin were shown to inhibit 3h-tbob binding in mouse whole brain, with ic50 values of 4.",str,D013331,Chemical,seizures,D012640,Disease,0
"7% gum), as well as during the entire study (safety population: 63.",nicotine,D009538,Chemical,hiccups,D006606,Disease,0
the infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when sch 120 mg was exceeded.,suxamethonium,D013390,Chemical,fasciculations,D005207,Disease,0
"in the initial 6 months since it's introduction, 12 overdose cases have been reported to the national poisons information centre.",bupropion,D016642,Chemical,cardiac arrhythmias,D001145,Disease,0
in 107 patients but normal in 40% at repeat determination.,testosterone,D013739,Chemical,low sexual desire,D020018,Disease,0
results: eighteen of the dox rats died prematurely of general toxicity during the 9-week period.,doxorubicin,D004317,Chemical,myocardial damage,D009202,Disease,0
"background: current animal models of obsessive-compulsive disorder (ocd) typically involve acute, drug-induced symptom provocation or a genetic association with stereotypies or  @DISEASE$..",clomipramine,D002997,Chemical,anxiety,D001008,Disease,0
the patient was discharged and continued outpatient dialysis for 1 month until his renal function recovered.,amiodarone,D000638,Chemical,acute renal failure,D058186,Disease,0
auditory toxicity was characterized by a mid- to high-frequency neurosensorial hearing loss and the lesion was of the cochlear type.,desferrioxamine,D003676,Chemical,visual toxicity,D014786,Disease,0
"using functional magnetic resonance imaging (fmri) in normal volunteers, we studied the gabapentin-induced modulation of brain activity in response to nociceptive mechanical stimulation of normal skin and  @CHEMICAL$--induced secondary hyperalgesia.",capsaicin,D002211,Chemical,neurogenic hyperalgesia,D006930,Disease,0
mice in which the cx3cr1 gene has been deleted and replaced with a cdna encoding enhanced green fluorescent protein (egfp) were treated with meth and examined for striatal neurotoxicity.,methamphetamine,D008694,Chemical,neurodegeneration,D009422,Disease,0
valproic acid induced encephalopathy--19 new cases in germany from 1994 to 2003--a side effect associated to vpa-therapy not only in young children.,valproic acid,D014635,Chemical,pancreatitis,D010195,Disease,0
rebound hypertensive after sodium nitroprusside prevented by saralasin in rats.,snp,D009599,Chemical,hypotensive,D007022,Disease,0
"4 points (range, 5 to 10 points), reflecting minimal or no pain during fracture reduction.",ketamine hydrochloride,D007649,Chemical,clumsiness,D001259,Disease,0
the marked vasodilator and negative inotropic effects of propofol are disadvantages in frail elderly patients.,ephedrine,D004809,Chemical,tachycardia,D013610,Disease,0
an experiment was performed to test whether inclusion of phenobarbital in a  @CHEMICAL$--devoid diet would increase the hepatocarcinogenicity of the diet.,choline,D002794,Chemical,hepatocellular carcinoma,D006528,Disease,0
infusion started 15 min after injection of  @CHEMICAL$..,capsaicin,D002211,Chemical,hyperalgesia,D006930,Disease,0
"fla-63, a dopamine-beta-oxidase inhibitor, did not have any effect on the hypotension,  @DISEASE$  or reflex-enhancing effect of l-dopa.",norepinephrine,D009638,Chemical,bradycardia,D001919,Disease,0
lithium also caused  @DISEASE$  and systolic hypertension in absence of glomerulosclerosis.,lithium,D008094,Chemical,proteinuria,D011507,Disease,0
the extent of silver-stained ca3 and ca1 hippocampal neurons was evaluated 2 days after  @DISEASE$..,pilocarpine,D010862,Chemical,se,D013226,Disease,0
idiopathic subjective tinnitus (ist) is one of the most obscure otological pathologies.,lignocaine,D008012,Chemical,vomiting,D014839,Disease,0
a transmission electron microscopic study of capillaries in the cerebellar cortex.,sodium valproate,D014635,Chemical,encephalopathy,D001927,Disease,0
"severe  @DISEASE$  and acute renal failure secondary to concomitant use of simvastatin, amiodarone, and atazanavir.",simvastatin,D019821,Chemical,rhabdomyolysis,D012206,Disease,0
02% 2-acetylaminofluorene coupled with a necrogenic dose of  @CHEMICAL$..,ccl4,D002251,Chemical,initiation of carcinogenic process,D011230,Disease,0
the two hypotensive patients required treatment for  @DISEASE$..,indocyanine green,D007208,Chemical,shock,D012769,Disease,0
"data on use of bzds/rds before admission, current medications and discharge diagnoses were collected from medical records.",bzds,D001569,Chemical,tiredness,D005221,Disease,0
pyrrolidine dithiocarbamate (pdtc) has a dual mechanism of action as an antioxidant and an inhibitor of the transcription factor kappa-beta.,pilocarpine,D010862,Chemical,neuronal loss,D009410,Disease,0
haematological adverse reactions associated with fatal outcome are rare during treatment with  @CHEMICAL$..,ciprofloxacin,D002939,Chemical,abdominal pain,D015746,Disease,0
"the haemodynamic effects of adding 15, 20 or 25 mg of  @CHEMICAL$  to 200 mg of propofol were compared to control in 40 asa 3/4 patients over 60 years presenting for genito-urinary surgery.",ephedrine,D004809,Chemical,tachycardia,D013610,Disease,0
treatment for scabies is usually initiated by general practitioners; most consider lindane ((@CHEMICAL$)) the treatment of choice.,gamma benzene hexachloride,D001556,Chemical,toxic to the central nervous system,D002493,Disease,0
whether  @DISEASE$  was due to sirolimus or only a consequence of calcineurin inhibitors withdrawal remained unsolved until high range  @DISEASE$  has been observed during sirolimus therapy in islet transplantation and in patients who received sirolimus de novo.,rapamycin,D020123,Chemical,proteinuria,D011507,Disease,0
"based on this principle a 27-year old woman, classified as being in the high-risk group (goldstein and berkowitz score: 11), was treated with multiple cytotoxic drugs.",methotrexate,D008727,Chemical,pulmonary obstruction,D011655,Disease,0
"results: among 593 patients with cerebral haemorrhage, 59 (10%) were assessed as related to  @CHEMICAL$  treatment.",warfarin,D014859,Chemical,cerebral haemorrhages,D002543,Disease,0
the subcutaneous administration of 10 mg/kg of  @CHEMICAL$--hc1 produced a marked increase in locomotor activity in mice.,morphine,D009020,Chemical,hyperactivity,D006948,Disease,0
"one week later, the patient was again extubated and 3 days later was transferred to a peripheral ward.",carbamylcholin,D002217,Chemical,bradycardia,D001919,Disease,0
"through 30 years of widespread use,  @CHEMICAL$  has been shown to be a remarkably safe medication in therapeutic dosages.",acetaminophen,D000082,Chemical,hypotension,D007022,Disease,0
"in the present study, cis-platin (80-120 mg/m2bsa) and  @CHEMICAL$  (1000 mg/m2bsa daily as a continuous infusion during 5 days) were given to 76 patients before radiotherapy and surgery.",5-fu,D005472,Chemical,chest pain,D002637,Disease,0
adriamycin-induced autophagic cardiomyocyte death plays a pathogenic role in a rat model of  @DISEASE$..,adriamycin,D004317,Chemical,heart failure,D006333,Disease,0
1 patient with squamous cell carcinoma achieved a partial response lasting 5 months.,nsc 343499,C042315,Chemical,seizures,D012640,Disease,0
the in vitro data suggest that the site responsible for the decrease in seizure activity 24 h after gamma-hch may be the gaba-a receptor-linked chloride channel.,ptx,D010852,Chemical,seizures,D012640,Disease,0
"the number of previous manic episodes did not affect the probability of switching, whereas a high score on the hyperthymia component of the semistructured affective temperament interview was associated with a greater risk of switching (p = .",antidepressant,D000928,Chemical,bipolar depression,D001714,Disease,0
patients developing esrd had a 6-year survival after onset of esrd of 27% for the patients receiving hemodialysis versus 71.,cyclosporine,D016572,Chemical,nephrotoxic,D007674,Disease,0
"gastric acid back-diffusion, mucosal lpo generation, histamine concentration, microvascular permeability, luminal hemoglobin content and  @DISEASE$  areas were determined.",vitamin d2,D004872,Chemical,ulcer,D014456,Disease,0
"following discontinuation of snp, blood pressure in the control animals rebounded to 94 torr, as compared with 78 torr in the saralasin-treated rats.",snp,D009599,Chemical,hypotension,D007022,Disease,0
these effects gave rise to an increase in the right atrial pressure and a decrease in the left one with a consequent stretching of the foramen ovale and the creation of massive right-to-left shunting.,propafenone,D011405,Chemical,cyanosis,D003490,Disease,0
"it was administered by 15 min infusion to 16 evaluable patients with non-small cell lung cancer (nsclc) (7 with no prior treatment, 9 patients in relapse following surgery/radiotherapy) at a dose (648 mg/m2 divided over 3 days, repeated every 3 weeks) determined by phase i trial.",nsc 343499,C042315,Chemical,neutropenia,D009503,Disease,0
"this study assessed the ability of ih636 grape seed proanthocyanidin extract (gspe) to prevent acetaminophen ((@CHEMICAL$))-induced nephrotoxicity, amiodarone (ami)-induced lung toxicity, and doxorubicin (dox)-induced cardiotoxicity in mice.",aap,D000082,Chemical,necrotic,D009336,Disease,0
a chi-square test was used to assess the statistical significance of results.,gentamicin,D005839,Chemical,headache,D006261,Disease,0
cardiovascular alterations in rat fetuses exposed to calcium channel blockers.,ro 40-5967,D020748,Chemical,cardiovascular malformations,D018376,Disease,0
in the current study the efficacy and toxicity of the combination of gem and  @CHEMICAL$  in elderly patients with advanced nsclc or those with some contraindication to receiving cisplatin were assessed.,vnb,C030852,Chemical,thrombocytopenia,D013921,Disease,0
cardiovascular alterations in rat fetuses exposed to calcium channel blockers.,nifedipine,D009543,Chemical,cardiovascular alterations,D018376,Disease,0
"briefly, cells were differentiated for 72 h with 100 nm pma to obtain a macrophage-like phenotype in the presence or absence of 1 nm 17beta-estradiol (e2), 100 nm progesterone or vehicle (0.",ritonavir,D019438,Chemical,atherosclerotic lesion,D050197,Disease,0
tac has been shown to be a potent immunosuppressive agent for solid organ transplantation in pediatrics.,tac,D016559,Chemical,brachial plexitis,D020968,Disease,0
a phase i/ii study of paclitaxel plus  @CHEMICAL$  as first-line therapy for head and neck cancers: preliminary results.,cisplatin,D002945,Chemical,paresthesias,D010292,Disease,0
"in conclusion, gene-targeted mice lacking sgk1 showed blunted volume retention, yet were not protected against renal fibrosis during experimental  @DISEASE$..",doxorubicin,D004317,Chemical,nephrotic syndrome,D009404,Disease,0
the corresponding urine concentrations amounted to 374 and 554 mg/l.,carbamylcholin,D002217,Chemical,hypotension,D007022,Disease,0
"common features included tachycardia, drowsiness, hallucinations and convulsions.",bupropion,D016642,Chemical,seizures,D012640,Disease,0
"eastern cooperative oncology group performance status improved in 35% of those patients with an initial value > 0, whereas relief of at least 1 symptom without worsening of other symptoms was noted in 27 patients (55%).",vinorelbine,C030852,Chemical,neutropenia,D009503,Disease,0
conclusions: cholestatic hepatitis is a rare adverse effect of  @CHEMICAL$  that may be immune mediated.,ticlopidine,D013988,Chemical,cholestasis,D002779,Disease,0
granulomatous  @DISEASE$  due to combination of amoxicillin and clavulanic acid.,amoxicillin-clavulanic acid,D019980,Chemical,hepatitis,D056486,Disease,0
concomitant is consisted of mycophenolate mofetil +/- steroids.,srl,D020123,Chemical,proteinuria,D011507,Disease,0
"8 g. within 14 days of the oral bisphosphonate ((@CHEMICAL$)) administration, the amount of daily urinary protein increased rapidly up to 12.",alendronate sodium,D019386,Chemical,proteinuria,D011507,Disease,0
"finally, pruritus disappeared within 19 months, and liver tests returned to normal 27 months after the onset of hepatitis.",troleandomycin,D014217,Chemical,cholestasis,D002779,Disease,0
5 ml of  @CHEMICAL$  and 10 mg/0.,methylprednisolone,D008775,Chemical,headache,D006261,Disease,0
recurrent seizures were treated with diazepam and broad complex tachycardia was successfully treated with adenosine.,bupropion,D016642,Chemical,convulsions,D012640,Disease,0
triazolam-induced brief episodes of secondary mania in a depressed patient.,triazolam,D014229,Chemical,manic,D001714,Disease,0
"antidepressant drugs and, more particularly, selective serotonin reuptake inhibitors [ssris]), use and type of mood stabilizers (lithium vs.",ssris,D017367,Chemical,bipolar disorder,D001714,Disease,0
"mpa, bcc, dmcm, and str showed no inhibition of 3h-tbob (t-butyl bicyclo-orthobenzoate) binding at concentrations of 100 micron.",picrotoxin,D010852,Chemical,seizures,D012640,Disease,0
we also explore different dosing and schedules of  @CHEMICAL$  administration.,capecitabine,C110904,Chemical,hand-foot syndrome,D060831,Disease,0
urinary excretion of pirarubicin in the first 24 hours was less than or equal to 10%.,doxorubicin,D004317,Chemical,mucositis,D052016,Disease,0
"all the lesions in dentate, inferior colliculus, pons, and medullas had been resolved completely on follow-up mris in 5 patients, but in 1 patient of them, corpus callosal lesion persisted.",metronidazole,D008795,Chemical,inferior colliculus lesion,D001927,Disease,0
"granulocyte nadir was on day 14 (range, 4-22).",doxorubicin,D004317,Chemical,anemia,D000740,Disease,0
some case reports are published in the literature but no systematic study from a sample of patients has been published.,valproic acid,D014635,Chemical,confusion,D003221,Disease,0
plasma aldosterone levels increased in nephrotic mice of both genotypes and was followed by increased sgk1 protein expression in sgk1(+/+) mice.,doxorubicin,D004317,Chemical,hypoalbuminemia,D034141,Disease,0
"19%), nx or hp+nx for another 8 weeks.",lithium,D008094,Chemical,proteinuria,D011507,Disease,0
sulfonamides were associated with anencephaly (adjusted or [aor] = 3.,sulfonamides,D013449,Chemical,diaphragmatic hernia,D006548,Disease,0
it is referred to as a frontal lobe syndrome.,carmofur,C017367,Chemical,organic mental disorder,D019965,Disease,0
"the results indicate that li-induced nephropathy, even when the gfr is only modestly reduced, is associated with proteinuria and arterial systolic hypertension.",lithium,D008094,Chemical,chronic renal failure,D007676,Disease,0
this response was restricted to the striatum and contrasted sharply with unresponsive egfp-microglia in surrounding brain areas that are not damaged by meth.,mptp,D015632,Chemical,cns damage,D009422,Disease,0
"reactive oxygen species have been implicated in the pathogenesis of acute  @CHEMICAL$  (pan)-induced nephropathy, with antioxidants significantly reducing the proteinuria.",puromycin aminonucleoside,D011692,Chemical,proteinuric injury,D011507,Disease,0
background: concerns about possible risks of switching to mania associated with antidepressants continue to interfere with the establishment of an optimal treatment paradigm for  @DISEASE$  depression.,ssris,D017367,Chemical,bipolar,D001714,Disease,0
findings: the liver biopsy sample showed hepatocellular necrosis which was prominent in perivenular zone three and extended focally from portal tracts to portal tracts and centrilobular areas (bridging necrosis).,hcfc 124,C072959,Chemical,liver disease,D008107,Disease,0
"the yield of severe  @DISEASE$  (defined as a shrunken finely nodular liver with micronodular histology, ascites greater than 30 ml, plasma albumin less than 2.",phenobarbitone,D010634,Chemical,cirrhosis of the liver,D008103,Disease,0
"when hippocampal ach was measured during testing for handling-induced  @DISEASE$,, extracellular ach was significantly elevated (192%) in wsp mice, but was nonsignificantly elevated (59%) in wsr mice.",nicotine,D009538,Chemical,convulsions,D012640,Disease,0
reserpine- and  @CHEMICAL$--induced  @DISEASE$  are putative animal models of tardive dyskinesia (td) whose pathophysiology has been related to free radical generation and oxidative stress.,haloperidol,D006220,Chemical,orofacial dyskinesia,D004409,Disease,0
15 10(-3) mm2) compared with the hypertensive controls (12.,nitrendipine,D009568,Chemical,albuminuria,D000419,Disease,0
the gamma-aminobutyric acid-transmitted thalamocortical circuitry accounts for a major part of the underlying neurophysiology of the absence epilepsy.,vigabatrin,D020888,Chemical,absence seizure,D004832,Disease,0
"apart from the reduction in the patient's level of consciousness, there were no signs of motor neurone damage or of any of the other known predisposing conditions for hyperkalaemia following the administration of  @CHEMICAL$..",suxamethonium,D013390,Chemical,cardiac arrest,D006323,Disease,0
