Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entity_2_type,labels
"histopathological analysis revealed progressive cardiomyocyte degeneration, hypertrophy/cytomegaly, and extensive vacuolation after two doses.",dox,D004317,Chemical,cardiomyopathy,D009202,Disease,0
acetaminophen ((@CHEMICAL$)) produces proximal tubular necrosis in fischer 344 (f344) rats.,apap,D000082,Chemical,renal tubular necrosis,D007683,Disease,0
the effect of recombinant human insulin-like growth factor-i on chronic  @CHEMICAL$  nephropathy in rats.,puromycin aminonucleoside,D011692,Chemical,tubulointerstitial damage,D007674,Disease,0
"01) from that of each control group, such as, amns alone, ps alone or saline injected.",puromycin-aminonucleoside,D011692,Chemical,focal segmental glomerular sclerosis,D005923,Disease,0
4% of the glomeruli of pan rats; glomeruli of the controls were normal.,aminonucleoside,D011692,Chemical,proteinuric,D011507,Disease,0
results: we observed positive associations of  @DISEASE$  with ozone (odds ratio = 1.,particulate matter,D052638,Chemical,parkinson's disease,D010300,Disease,0
phase ii study of carboplatin and liposomal doxorubicin in patients with recurrent squamous cell carcinoma of the cervix.,doxil,D004317,Chemical,weight loss,D015431,Disease,0
(+)-propranolol had no effect on fatty acid mobilization but significantly reduced the increments in both lactate and glucose.,halothane,D006221,Chemical,cardiac arrhythmias,D001145,Disease,0
neither patient developed signs of cardiovascular toxicity.,levobupivacaine,C476513,Chemical,grand mal seizures,D004830,Disease,0
"temocapril did not attenuate proteinuria at 8 days, but it did markedly lower it from weeks 4 to 20.",pan,D011692,Chemical,nephrosis,D009401,Disease,0
"the 20-year risk of cad at diagnosis of diabetes, using the ukpds risk engine, was used to match cases with controls.",glibenclamide,D005905,Chemical,coronary artery disease,D003324,Disease,0
results: dermal exposure of rats to s-53482 at 300 mg/kg produced patterns of developmental toxicity similar to those resulting from oral exposure.,s-23121,C083440,Chemical,teratogenic,D064793,Disease,0
in order to improve this mmc-dependent schedule we initiated a phase ii study with high-dose 5-fu/fa and 3-weekly bolus mmc.,5-fu,D005472,Chemical,diarrhea,D003967,Disease,0
"5% (n = 15), no change 27.",mmc,D016685,Chemical,diarrhea,D003967,Disease,0
"our data show that ablation of pkca preserves aqp2 and ut-a1 protein expression and localization in  @CHEMICAL$--induced  @DISEASE$,, and prevents the development of the severe polyuria associated with  @CHEMICAL$- therapy.",lithium,D008094,Chemical,ndi,D018500,Disease,0
"following a lethal dose, death was always associated with  @DISEASE$..",ptz,D010433,Chemical,convulsions,D012640,Disease,0
at 1 day their number was reduced to about 1/10 of the original number.,l-norepinephrine,D009638,Chemical,spasm,D013035,Disease,0
"in a previous phase ii study with 3-weekly bolus 5-fu,  @CHEMICAL$  and mitomycin c (mmc) we found a low toxicity rate and response rates comparable to those of regimens such as elf,  @CHEMICAL$ m or  @CHEMICAL$ mtx, and a promising median overall survival.",fa,D002955,Chemical,thrombocytopenia,D013921,Disease,0
plasma ammonium level ranged from 248 to 2387 microg% (mean: 626 +/- 431 microg%).,5-fu,D005472,Chemical,hyperammonemia,D022124,Disease,0
"all women who had a recorded diagnosis of deep-vein thrombosis, venous thrombosis not otherwise specified, or pulmonary embolus during the study period, and who had been treated with an anticoagulant were identified as potential cases of  @DISEASE$..",ocs,D003276,Chemical,vte,D054556,Disease,0
patients who are candidates for long-term  @CHEMICAL$  treatment should be routinely evaluated for obstructive uropathy.,cyclophosphamide,D003520,Chemical,carcinoma,D002277,Disease,0
results: postprocedural creatinine level decreased nonsignificantly in the ptra group (1.,contrast medium,D003287,Chemical,renal dysfunction,D007674,Disease,0
the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.,corticosteroids,D000305,Chemical,systemic sclerosis,D012595,Disease,0
spectrum of adverse events after generic haart in southern indian hiv-infected patients.,d4t,D018119,Chemical,peripheral neuropathy,D010523,Disease,0
all cases of delayed anemia were clinically manageable and resolved within one month.,artesunate,C039726,Chemical,hemolytic anemia,D000743,Disease,0
"bilateral basal ganglia infarcts after the use of  @CHEMICAL$,, without concurrent heroin use, have never been reported.",cocaine,D003042,Chemical,ischemia of the globus pallidus,D002545,Disease,0
"in shr but not in wky administration of anp, avp and anp + avp decreased ccb during phe-induced map elevation.",phenylephrine,D010656,Chemical,hypertension,D006973,Disease,0
"fluoxetine, a selective serotonin reuptake inhibitor, is gaining increased acceptance in the treatment of adolescent depression.",fluoxetine,D005473,Chemical,mania,D001714,Disease,0
the primary objective of this study is to compare the prevalence of severe hemodynamic effects in neurocritical care patients receiving  @CHEMICAL$  and propofol.,dexmedetomidine,D020927,Chemical,hypotension,D007022,Disease,0
"side effects of hysterosalpingography with dimer-x, hexabrix, vasurix polyvidone and endografine in 142 consecutive patients, receiving one of the four tested media were evaluated from replies to postal questionnaires.",iocarmate,C025504,Chemical,dizziness,D004244,Disease,0
"bort-dex was an effective salvage treatment for mm patients, particularly for those in first relapse.",bort,C400082,Chemical,peripheral neuropathy,D010523,Disease,0
"the cases of five depressed adolescents, 14-16 years of age, who developed mania during pharmacotherapy with  @CHEMICAL$,, are reported here.",fluoxetine,D005473,Chemical,bipolar disorder,D001714,Disease,0
there was no evidence of any recent stress or status migrainosus.,zolmitriptan,C089750,Chemical,takotsubo syndrome,D054549,Disease,0
"a prospective, open-label trial of  @CHEMICAL$  in autistic disorder.",galantamine,D005702,Chemical,headaches,D006261,Disease,0
60) and brush strokes (icc > 0.,capsaicin,D002211,Chemical,allodynic,D006930,Disease,0
"the authors elected to name this syndrome ""antibiomania"".",ciprofloxacin,D002939,Chemical,mania,D001714,Disease,0
anorexigens and  @DISEASE$. in the united states: results from the surveillance of north american  @DISEASE$..,fenfluramine,D005277,Chemical,pulmonary hypertension,D006976,Disease,0
in response to this a marked  @DISEASE$  occurred which lasted for two minutes and the anaesthesia were terminated.,suxamethonium,D013390,Chemical,jaw stiffness,D014313,Disease,0
we herein describe the case of an 81-year-old japanese woman with  @DISEASE$  that occurred 36 days after the initiation of combination therapy with tiapride (75 mg/day) and  @CHEMICAL$  (12.,tetrabenazine,D013747,Chemical,neuroleptic malignant syndrome,D009459,Disease,0
takotsubo syndrome (or apical ballooning syndrome) secondary to  @CHEMICAL$..,zolmitriptan,C089750,Chemical,ts,D054549,Disease,0
"background: while the incidence of new-onset diabetes mellitus may be increasing in patients with schizophrenia treated with certain atypical antipsychotic agents, it remains unclear whether atypical agents are directly affecting glucose metabolism or simply increasing known risk factors for diabetes.",clozapine,D003024,Chemical,insulin resistance,D007333,Disease,0
twenty  @DISEASE$  and one carcinoma of the prostate have been reported in association with its use.,cyclophosphamide,D003520,Chemical,carcinomas of the urinary bladder,D001749,Disease,0
"a large population-based follow-up study of trimethoprim-sulfamethoxazole, trimethoprim, and cephalexin for uncommon serious drug toxicity.",tmp-smz,D015662,Chemical,liver disease,D008107,Disease,0
"both systolic and diastolic blood pressures of these 13 patients were decreased significantly after 4 weeks of  @CHEMICAL$  therapy, and blood pressure was maintained within the normal range thereafter for 25 months.",nifedipine,D009543,Chemical,gingival hyperplasia,D005885,Disease,0
"results: during treatment, 11 patients showed a reduction in sural nerve sap amplitude compared to baseline values (9 with a reduction > or =50% and 2 <50%).",thalidomide,D013792,Chemical,sensory neurotoxicity,D010523,Disease,0
"current options of treatment include oral anticholinergic drugs, the topical application of anticholinergics or aluminum chloride, and the injection of botulinum toxin.",glycopyrrolate,D006024,Chemical,headache,D006261,Disease,0
"10 in current users of any oc, 3.",oral contraceptives,D003276,Chemical,venous thromboembolism,D054556,Disease,0
statistical analysis of the data would not have demonstrated a significant statistical correlative risk and was therefore not undertaken.,amoxicillin,D000658,Chemical,mania,D001714,Disease,0
results:  @CHEMICAL$--induced anemia occurred in 18 (20.,ribavirin,D012254,Chemical,hemolytic anemia,D000743,Disease,0
cardiotoxicity is a rare complication occurring during 5-fluorouracil ((@CHEMICAL$)) treatment for malignancies.,5-fu,D005472,Chemical,right bundle branch block,D002037,Disease,0
"patients were observed on an inpatient basis for 18 to 24 hours, and vital signs,  @DISEASE$,, vomiting, retching, and appetite were assessed.",cisplatin,D002945,Chemical,nausea,D009325,Disease,0
"05) with cyp-induced cystitis (acute, intermediate, and chronic).",cyclophosphamide,D003520,Chemical,urinary bladder inflammation,D003556,Disease,0
"to our knowledge, however, axonal neuropathy following administration of these three agents has not been previously described.",tspa,D013852,Chemical,neurotoxicity,D020258,Disease,0
075mg/kg dose of fazadinium) did not influence the occurrence of scoline  @DISEASE$..,suxamethonium,D013390,Chemical,pain,D010146,Disease,0
"these results suggest that alterations in cerebellar sensory processing function, occurring secondary to abnormal basal ganglia signals reaching it, may be an important element contributing to the maladaptive sensorimotor plasticity of m1 and the emergence of abnormal involuntary movements.",levodopa,D007980,Chemical,lids,D004409,Disease,0
"methods and results: transmembrane action potentials from epicardium, midmyocardium, and endocardium were recorded simultaneously, together with a transmural ecg, in arterially perfused canine and rabbit left ventricular preparations.",sotalol,D013015,Chemical,long-qt syndrome,D008133,Disease,0
"p53 inhibition blocked transient dox-induced stat3 activation in mhc-cb7 mice, which was associated with enhanced induction of the dna repair proteins ku70 and ku80.",doxorubicin,D004317,Chemical,heart failure,D006333,Disease,0
"patients and methods: from february, 1998 to september, 2000 we recruited 33 patients with agc to receive weekly 24-hour 5-fu 2,600 mg/m(2) preceded by 2-hour fa 500 mg/m(2) for 6 weeks, followed by a 2-week rest period.",folinic acid,D002955,Chemical,hand-foot syndrome,D060831,Disease,0
the results indicate that centrally applied avp and anp exert differential effects on blood pressure and baroreflex control of heart rate in wky and shr and suggest interaction of these two peptides in blood pressure regulation at the level of central nervous system.,sn,D009599,Chemical,hypotension,D007022,Disease,0
"fifteen  @DISEASE$,, 12 non @DISEASE$, patients, and a control group were included.",levodopa,D007980,Chemical,dyskinetic,D004409,Disease,0
"objective: to determine the maximum tolerated dose (mtd) of  @CHEMICAL$  (a long-acting synthetic analogue of oxytocin), when administered immediately after vaginal delivery at term.",carbetocin,C020731,Chemical,vomiting,D014839,Disease,0
"4 (mean+/-sd) mg/l, similar in magnitude to the blood  @CHEMICAL$  concentration reported in abusers dying of  @CHEMICAL$  intoxication.",cocaine,D003042,Chemical,deterioration of lv systolic and diastolic performance,D018487,Disease,0
"005), and systemic fungal infections occurred only in the liver transplant group.",aza,D001379,Chemical,infection,D007239,Disease,0
brain damage was assessed by examining the hippocampus microscopically.,pilocarpine,D010862,Chemical,seizure,D012640,Disease,0
"oxidative stress is considered to play an important role in epileptogenesis and cognitive deficits, and antioxidants have a putative antiepileptic potential.",ptz,D010433,Chemical,cognition deficits,D003072,Disease,0
"in the inpatient setting, the frequency of qt interval prolongation with  @CHEMICAL$  treatment, its dose dependence, and the importance of cofactors such as drug-drug interactions remain unknown.",methadone,D008691,Chemical,qt prolongation,D008133,Disease,0
the compound p11 is introduced in doses of 0.,bacl2,C024986,Chemical,arrhythmia,D001145,Disease,0
we present a case of yellow  @CHEMICAL$  poisoning in which a patient presented with florid clinical features of cholestasis highlighting the fact that cholestasis can rarely be a presenting feature of yellow  @CHEMICAL$  hepatotoxicity.,phosphorus,D010758,Chemical,acute liver failure,D017114,Disease,0
"the binding sites from  @DISEASE$  sensitive and resistant mice were equally affected by treatment with dithiothreitol, trypsin or heat.",nicotine,D009538,Chemical,seizure,D012640,Disease,0
we undertook an open-label study using  @CHEMICAL$  100 mg once daily for up to 6 months in 20 men with androgen-independent prostate cancer.,thalidomide,D013792,Chemical,rash,D005076,Disease,0
1 mg) vs placebo 120 min before training on each training day.,pergolide,D010479,Chemical,impaired novel word learning,D007859,Disease,0
"we did a cohort analysis to estimate and compare incidence of vte in users of the main  @CHEMICAL$, preparations, and a nested case-control study to calculate the odds ratios of vte ass @CHEMICAL$,iated with use of different types of  @CHEMICAL$,, after adjustment for potential confounding factors.",oc,D003276,Chemical,venous thromboembolism,D054556,Disease,0
"the clinical effects of  @CHEMICAL$  are meritorious, but side effects do exist.",heparin,D006493,Chemical,alopecia,D000505,Disease,0
to the best of our knowledge this is the first anca positive carbimazole induced vasculitis case reported from india.,anti-thyroid drugs,D013956,Chemical,arthritis,D001168,Disease,0
"grade > or = 2 nonhematologic toxicity included nausea in 17 patients, emesis in 14 patients, fatigue in 9 patients, mucositis and/or stomatitis in 8 patients, constipation in 6 patients, weight loss in 5 patients, hand-foot syndrome in 2 patients, and skin reactions in 3 patients.",doxil,D004317,Chemical,neutropenia,D009503,Disease,0
"objective: to determine the maximum tolerated dose (mtd) of  @CHEMICAL$  (a long-acting synthetic analogue of oxytocin), when administered immediately after vaginal delivery at term.",carbetocin,C020731,Chemical,blood loss,D006473,Disease,0
patients with new york heart association classes ii to iv chf and left ventricular ejection fractions of no greater than 0.,lisinopril,D017706,Chemical,hyperkalemia,D006947,Disease,0
"preoperative platelet count, postoperative course of platelets, and clinical signs of hit type ii were analyzed.",heparin,D006493,Chemical,thrombocytopenia,D013921,Disease,0
"98; range, 4-9 years), past ecstasy users showed few signs of recovery.",3,D018817,Chemical,depression,D003866,Disease,0
introduction: acute kidney injury ((@DISEASE$)) occurs in 7% of hospitalized and 66% of intensive care unit (icu) patients.,gentamicin,D005839,Chemical,aki,D058186,Disease,0
"experimental hypertension created by the removal of no, however, involves mechanisms in addition to decreased arterial vasodilator activity.",nitric oxide,D009569,Chemical,hypertensive,D006973,Disease,0
"therefore, it is suggested that the administration of ps enhances the toxicity of amns on the glomerulus and readily produces progressive  @DISEASE$  in rats resulting in the end-stage renal disease.",puromycin-aminonucleoside,D011692,Chemical,fsgs,D005923,Disease,0
"the authors elected to name this syndrome ""antibiomania"".",isoniazid,D007538,Chemical,antibiomania,D001714,Disease,0
clinical evaluation of adverse effects during  @CHEMICAL$  administration for atrial fibrillation and flutter.,bepridil,D015764,Chemical,torsade de pointes,D016171,Disease,0
"on pnd71, a behavioral assay was performed using the elevated plus maze (epm) and the light/dark test.",bpa,C006780,Chemical,anxiety,D001008,Disease,0
"rationale: ecstasy (3,4-methylenedioxymethamphetamine, mdma) is a worldwide recreational drug of abuse.",mdma,D018817,Chemical,sleep disturbance,D020920,Disease,0
no significant heart rate differences were observed between the sham and lesioned groups.,trimethaphan,D014294,Chemical,hypotension,D007022,Disease,0
"in this study, we investigated the effect of chronic administration of lf on oxidative stress and hypertension upon  @CHEMICAL$  administration.",dex,D003907,Chemical,weight loss,D015431,Disease,0
"in the seven men who completed six months on  @CHEMICAL$,, subclinical evidence of peripheral neuropathy was found in four before treatment, but in all seven at repeat testing.",thalidomide,D013792,Chemical,constipation,D003248,Disease,0
improving glioblastoma multiforme (gbm) treatment with radio-chemotherapy remains a challenge.,topotecan,D019772,Chemical,neutropenia,D009503,Disease,0
"7) mg/kg, p.o., respectively, while that of flunarizine was 34.",pentylenetetrazole,D010433,Chemical,convulsions,D012640,Disease,0
"with 2-drug therapy, mean total cholesterol decreased 22% from 255 to 200 mg/dl, triglyceride levels decreased 35% from 236 to 154 mg/dl, ldl cholesterol decreased 26% from 176 to 131 mg/dl, and the total cholesterol/hdl cholesterol ratio decreased 24% from 7.",lovastatin,D008148,Chemical,myositis,D009220,Disease,0
clinical applications of  @CHEMICAL$  parallel their tissue selectivity.,calcium channel blockers,D002121,Chemical,anorexia,D000855,Disease,0
"study selection: english-language randomized, controlled trials (rcts); case-control studies; meta-analyses; and systematic reviews of  @CHEMICAL$  versus control for the primary prevention of cardiovascular disease (cvd) were selected to answer the following questions: does  @CHEMICAL$  decrease coronary heart events,  @DISEASE$,, death from coronary heart events or stroke, or all-cause mortality in adults without known cvd?",aspirin,D001241,Chemical,strokes,D020521,Disease,0
"cotrimoxazole, metronidazole, and  @CHEMICAL$  were involved in 15 reported manic episodes.",erythromycin,D004917,Chemical,mania,D001714,Disease,0
"at higher doses, however,  @DISEASE$  again emerged.",flurazepam,D005479,Chemical,convulsions,D012640,Disease,0
"9 mg/dl) were compared with 33 patients undergoing successful pci (pci group), matched for basal creatinine (1.",contrast medium,D003287,Chemical,nephrotoxic,D007674,Disease,0
01); increased serum creatinine (p less than 0.,aspirin,D001241,Chemical,renal damage,D007674,Disease,0
only one patient developed a moderate angioedema of the lips.,n,C012655,Chemical,skin reactions,D012871,Disease,0
the aim of this work is to call attention to the risk of tacrolimus use in patients with  @DISEASE$..,corticosteroids,D000305,Chemical,ssc,D012595,Disease,0
"we used high-resolution mri and surface-based computational i @CHEMICAL$ ge analyses to  @CHEMICAL$ p regional abnor @CHEMICAL$ lities in the cortex, hippocampus, white  @CHEMICAL$ tter, and ventricles in 22 hu @CHEMICAL$ n subjects who used  @CHEMICAL$  and 21 age- @CHEMICAL$ tched, healthy controls.",ma,D008694,Chemical,impaired memory performance,D008569,Disease,0
this illustrates intravenous pamidronate as a valuable therapeutic tool when milk-alkali syndrome presents as hypercalcemic emergency.,calcium,D002118,Chemical,renal impairment,D007674,Disease,0
results: dermal exposure of rats to s-53482 at 300 mg/kg produced patterns of developmental toxicity similar to those resulting from oral exposure.,s-23121,C083440,Chemical,ventricular septal defects,D006345,Disease,0
8 months (range of those surviving: 2.,5-fluorouracil,D005472,Chemical,thrombocytopenia,D013921,Disease,0
adenosine triphosphate (atp) and  @CHEMICAL$  (snp) are administered to patients to induce and control  @DISEASE$  during anesthesia.,sodium nitroprusside,D009599,Chemical,hypotension,D007022,Disease,0
convulsive seizures are a serious postoperative complication after cardiac surgery.,tranexamic acid,D014148,Chemical,generalised and focal seizures,D012640,Disease,0
"the holter electrocardiogram, which was worn by chance, revealed torsade de pointes with gradually prolonged qt intervals.",pilsicainide,C042288,Chemical,sudden cardiac death,D016757,Disease,0
bolus mmc 10 mg/m(2) was added in 3-weekly intervals.,5-fluorouracil,D005472,Chemical,stomatitis,D013280,Disease,0
material and methods: this study was performed based on anesthesia records.,etomidate,D005045,Chemical,myoclonus,D009207,Disease,0
analyses of markers associated with the mtor pathway were carried out on archival tumor from a subgroup using immunohistochemistry (ihc) and direct mutation sequencing.,rad001,C107135,Chemical,dyspnea,D004417,Disease,0
ongoing tubular injury may be a prerequisite for renal injury by  @CHEMICAL$  as evidenced by the active urinary sediment.,melphalan,D008558,Chemical,acute renal insufficiency,D058186,Disease,0
5% hyperbaric  @CHEMICAL$  through a 25-gauge spinal needle.,bupivacaine,D002045,Chemical,hypotension,D007022,Disease,0
"3% (n = 9), progressive disease 15.",mitomycin c,D016685,Chemical,hand-foot syndrome,D060831,Disease,0
the aim of the current study was to determine the effects of no on the behavioral and eeg characteristics of  @CHEMICAL$--induced epilepsy in male wistar albino rats.,lindane,D001556,Chemical,convulsive,D012640,Disease,0
we report a case of  @CHEMICAL$--induced hemolytic anemia in a 15-year-old boy who presented to the emergency department with near-syncope.,methyldopa,D008750,Chemical,hemolytic anemias,D000743,Disease,0
both timolol and pilocarpine were subsequently identified in a 24-h collection of urine.,pilocarpine nitrate,D010862,Chemical,bradycardia,D001919,Disease,0
"with a median follow up of 22 months, median time to progression, progression-free survival (pfs) and overall survival (os) were 8.",dex,D003907,Chemical,peripheral neuropathy,D010523,Disease,0
"the  @CHEMICAL$  group was injected with the same drugs, except for chx.",pilo,D010862,Chemical,status epilepticus,D013226,Disease,0
"the aim of this study was to investigate, whether there is an association between adherence to guidelines (standard operating procedures (sop)) for potentially nephrotoxic antibiotics and the occurrence of  @DISEASE$..",gentamicin,D005839,Chemical,aki,D058186,Disease,0
prehospital care providers who are managing any patient with a syncopal episode that fails to recover within a reasonable time frame should consider the bezold-jarisch reflex as the cause and manage the patient accordingly.,gtn,D005996,Chemical,drop in blood pressure,D007022,Disease,0
0001) and penetration of lanthanum nitrate through intercellular areas of the epithelium.,indomethacin,D007213,Chemical,mastocytosis,D008415,Disease,0
case: we report the case of a 46-year-old woman who received a liver transplant in our center as treatment for alcoholic cirrhosis and in whom either a fulminant course of posterior leukoencephalopathy or  @DISEASE$  developed 110 days after transplant.,tacrolimus,D016559,Chemical,posterior reversible encephalopathy syndrome,D054038,Disease,0
srl-treated rats presented proteinuria and ngal (serum and urinary) as the best markers of renal impairment.,cyclosporine,D016572,Chemical,kidney lesions,D007674,Disease,0
interventions: administration of flumazenil to animals after they had received a combination dose of cocaine and  @CHEMICAL$..,diazepam,D003975,Chemical,seizures,D012640,Disease,0
"3% (n = 9), progressive disease 15.",5-fu,D005472,Chemical,leukopenia,D007970,Disease,0
the pathology specimen contained clinically occult invasive  @DISEASE$  of the renal pelvis.,cyclophosphamide,D003520,Chemical,carcinoma,D002277,Disease,0
background: combined  @DISEASE$  immune globulin (hbig) and lamivudine in prophylaxis of the recurrence of  @DISEASE$  after liver transplantation has significantly improved the survival of hbsag positive patients.,hbeag,D006513,Chemical,hepatitis b,D006509,Disease,0
"neurologic status returned to baseline within 10 days of the acute event, and magnetic resonance angiography findings returned to normal 4 months later.",cytarabine,D003561,Chemical,cerebral vasospasm,D020301,Disease,0
"material and methods: a total of 33 patients successfully treated with ptra (ptra group, mean age 70+/-12 years, 23 female, basal creatinine 1.",cm,D003287,Chemical,nephrotoxicity,D007674,Disease,0
"patient presented with complaints of increasing nausea, anorexia, and upper abdominal pain.",fluvastatin,C065180,Chemical,drug-induced liver injury,D056486,Disease,0
epsilon aminocaproic acid ((@CHEMICAL$)) has been used to prevent rebleeding in patients with subarachnoid hemorrhage (sah).,eaca,D015119,Chemical,intracranial vascular thrombosis,D020767,Disease,0
"conversion to srl prevented csa-induced  @DISEASE$  evolution (absent/mild grade lesions), while ngal (serum versus urine) seems to be a feasible biomarker of csa replacement to srl.",cyclosporin a,D016572,Chemical,renal damage,D007674,Disease,0
evans blue (mug g-1 of brain tissue) was greater in the 90/htn group (24.,phenylephrine,D010656,Chemical,htn,D006973,Disease,0
late-onset scleroderma renal crisis induced by  @CHEMICAL$  and prednisolone: a case report.,tacrolimus,D016559,Chemical,ssc,D012595,Disease,0
we report a patient with graves' disease who developed anca positive  @CHEMICAL$  induced vasculitis.,carbimazole,D002231,Chemical,anca positive vasculitis,D056648,Disease,0
ninety treatments were given to the 57 dogs included in the study.,ctx,D003520,Chemical,neutropenia,D009503,Disease,0
"15 mg bid she developed complete av block, which resolved after all therapy was stopped.",clonidine,D003000,Chemical,atrioventricular (av) block,D054537,Disease,0
"to better correlate the biochemical and the pharmacological effects, we studied the action of abecarnil on [35s]tbps binding, exploratory motility and on  @CHEMICAL$--induced biochemical and pharmacological effects in mice.",isoniazid,D007538,Chemical,convulsions,D012640,Disease,0
"on admission, clinical symptoms (i.e. arthralgia and fever) and laboratory findings (i.e.  @DISEASE$  and renal failure) suggested ain, and which was confirmed by pathologic findings on renal biopsy.",sermion,D009530,Chemical,eosinophilia,D004802,Disease,0
unassigned: our previous study has indicated that prenatal  @CHEMICAL$  exposure (pce) could induce intrauterine growth retardation (iugr) of offspring.,caffeine,D002110,Chemical,dysplasia of fetal kidneys,D007674,Disease,0
"conclusions: given this record of impaired memory and clinically significant levels of depression, impulsiveness, and  @DISEASE$,, the prognosis for the current generation of  @CHEMICAL$  users is a major cause for concern.",ecstasy,D018817,Chemical,sleep disturbance,D020920,Disease,0
expression of both growth and morphological changes is due to multiple genes.,des,D004054,Chemical,pituitary tumors,D010911,Disease,0
"exclusively parenteral daily injections of galactose induce memory deterioration in rodents and are used to generate animal aging model, but the effects of oral galactose treatment on cognitive functions have never been tested.",streptozotocin,D013311,Chemical,cognitive deficits,D003072,Disease,0
"to our knowledge, this is the first report of nicergoline-associated ain.",sermion,D009530,Chemical,arthralgia,D018771,Disease,0
the dose of (-)-propranolol was significantly smaller than that of (+)-propranolol in both species but much higher than that required to produce evidence of beta-blockade.,adrenaline,D004837,Chemical,arrhythmias,D001145,Disease,0
optochiasmatic and peripheral neuropathy due to  @CHEMICAL$  overtreatment.,ethambutol,D004977,Chemical,optic neuropathy,D009901,Disease,0
"background: especially because of improvements in clinical neurologic monitoring, carotid endarterectomy done under local anesthesia has become the technique of choice in several centers.",prilocaine,D011318,Chemical,vocal cord paralysis,D014826,Disease,0
"we conducted a population-based 45-day follow-up study of 232,390 people who were prescribed trimethoprim-sulfamethoxazole (tmp-smz), 266,951 prescribed trimethoprim alone, and 196,397 prescribed  @CHEMICAL$,, to estimate the risk of serious liver, blood, skin, and renal disorders resulting in referral or hospitalization associated with these drugs.",cephalexin,D002506,Chemical,stevens-johnson syndrome,D013262,Disease,0
we report a case of nonalcoholic fatty liver disease ((@DISEASE$)) arising in a child who developed obesity during vpa treatment.,valproic acid,D014635,Chemical,nafld,D065626,Disease,0
"during the acute period of  @DISEASE$,, we measured: (1) the latency of the first motor sign, (2) the intensity of seizures, (3) the time when it occurred within the 6-h observation period, and (4) the time when the acute period ended.",pilocarpine,D010862,Chemical,status epilepticus,D013226,Disease,0
"5-20 mg/kg does not block pre- and postsynaptic striatal d2 da receptors, while at 30, 40 and 50 mg/kg it blocks postsynaptic striatal d2 da receptors.",haloperidol,D006220,Chemical,catalepsy,D002375,Disease,0
"children on both studies had significant attention problems, but p9605 children scored below average on more neurocognitive measures than those treated on p9201 (82%, 14/17 measures vs.",methotrexate,D008727,Chemical,leukoencephalopathy,D056784,Disease,0
"recently introduced in belgium,  @CHEMICAL$  is the first nonsteroidal antiinflammatory drug with selective action on the inducible form of cyclooxygenase 2.",meloxicam,C065757,Chemical,hepatic damage,D056486,Disease,0
"on the contrary, though not clinically apparent,  @CHEMICAL$  potentially causes inhibitory impacts on the cns and impairs normal cerebellar and oculomotor function in the short term.",pethidine,D008614,Chemical,nausea,D009325,Disease,0
